åé,ì˙,éû,ãCâ∑,ê‚ëŒéºìx,êÑíËì˙éÀó ,â∫å¸Ç´ëÂãCï˙éÀ,ìÏñkïó,ìåêºïó,ãCà≥,ç~êÖó ,ïóë¨,ïóå¸,ëæózçÇìx,ëæózï˚à ,ñ@ê¸ñ íºíBì˙éÀó ,êÖïΩñ ìVãÛì˙éÀó ,ñÈä‘ï˙éÀ
1,1,0,0.997076,2.853189,0.000000,0.828432,0.470409,1.681197,100325.527981,0.000000,1.733241,247.500000,-75.600809,328.471685,0.000000,0.000000,0.324779
1,1,1,1.256690,3.075132,0.000000,0.828843,0.447464,1.685656,100239.883660,0.000000,1.728580,247.500000,-76.211693,62.069891,0.000000,0.000000,0.328757
1,1,2,1.807833,3.408375,0.000000,0.863498,0.333323,1.634547,100212.141676,0.000000,1.637682,247.500000,-67.524387,62.623420,0.000000,0.000000,0.303483
1,1,3,1.554980,3.511903,0.000000,0.919242,0.283909,1.400399,100105.880628,0.000000,1.402447,247.500000,-55.938709,79.134777,0.000000,0.000000,0.243347
1,1,4,2.013553,3.670005,0.000000,0.946886,0.554488,1.272431,100079.506203,0.000000,1.387766,247.500000,-43.743722,89.354248,0.000000,0.000000,0.223461
1,1,5,2.116910,3.809672,0.000000,0.954202,0.526122,1.043332,99984.783218,0.000000,1.165251,247.500000,-31.504054,97.483119,0.000000,0.000000,0.217808
1,1,6,2.979432,4.160550,0.000000,1.042152,0.088453,1.073771,99868.621141,0.041966,1.073771,270.000000,-19.474718,105.015048,0.000000,0.000000,0.144536
1,1,7,3.251955,4.294663,0.000000,1.072843,0.390898,1.226175,99944.973890,0.026293,1.282428,247.500000,-7.867257,112.715833,0.000000,0.000000,0.118536
1,1,8,4.346401,4.529790,0.063417,0.989721,0.497038,1.622389,99959.377953,0.004922,1.689101,247.500000,3.070844,121.151685,0.000000,0.063417,0.220640
1,1,9,6.366910,4.656966,0.502793,0.950196,0.073876,2.050615,100030.540731,0.000000,2.050615,270.000000,12.999710,130.844077,0.924827,0.294756,0.295804
1,1,10,8.850665,4.278589,0.869999,1.027507,0.337091,3.056264,100018.882117,0.000000,3.056264,270.000000,21.441545,142.284268,0.643982,0.634590,0.263373
1,1,11,9.871984,3.933027,1.207807,1.055823,0.296173,3.773298,100017.222812,0.000000,3.773298,270.000000,27.764283,155.777261,0.892972,0.791829,0.253860
1,1,12,10.544031,3.442745,1.686447,1.010005,0.714562,4.089868,99904.344476,0.000000,4.089868,270.000000,31.269587,171.099198,2.024249,0.635730,0.312162
1,1,13,10.828597,3.310767,1.688247,1.005854,0.707949,4.047660,99813.543898,0.000000,4.047660,270.000000,31.448880,187.230682,1.830270,0.733326,0.321626
1,1,14,10.934919,3.125677,1.334052,1.016359,0.965573,3.941232,99736.360881,0.000000,4.010732,247.500000,28.273279,202.698168,1.177489,0.776302,0.313110
1,1,15,10.600686,3.240668,1.048986,1.010372,0.636526,3.545744,99840.249863,0.000000,3.545744,270.000000,22.212579,216.405251,1.177212,0.603949,0.312852
1,1,16,10.158545,3.319427,0.595915,1.034331,0.617378,2.785604,99801.120128,0.000000,2.809823,247.500000,13.959985,228.051237,0.969889,0.361934,0.280664
1,1,17,9.150282,3.590111,0.110484,1.023972,0.420442,2.181304,99917.235393,0.000000,2.181304,270.000000,4.161272,237.904334,0.125240,0.101396,0.272404
1,1,18,7.564946,3.813582,0.000000,0.973104,0.186419,1.729600,99988.942293,0.001623,1.729600,270.000000,-6.689399,246.447098,0.000000,0.000000,0.294395
1,1,19,6.674796,3.697409,0.000000,0.948125,-0.192774,1.593694,100065.436527,0.000000,1.593694,270.000000,-18.239780,254.199736,0.000000,0.000000,0.303374
1,1,20,5.914263,3.605035,0.000000,0.909468,-0.008774,1.494264,100157.917037,0.000000,1.494264,270.000000,-30.234047,261.716140,0.000000,0.000000,0.328480
1,1,21,5.196804,3.739835,0.000000,0.890579,-0.011588,1.638831,100169.817673,0.000000,1.638831,270.000000,-42.460626,269.728440,0.000000,0.000000,0.334688
1,1,22,4.817781,3.635834,0.000000,0.902503,0.165593,1.732435,100177.187345,0.000000,1.732435,270.000000,-54.676065,279.604175,0.000000,0.000000,0.316103
1,1,23,4.428118,3.444690,0.000000,0.877028,0.322257,1.683545,100232.009767,0.000000,1.683545,270.000000,-66.378271,295.049752,0.000000,0.000000,0.334759
1,2,0,4.198546,3.465106,0.000000,0.859666,0.581444,1.749537,100251.226415,0.000000,1.838870,247.500000,-75.496234,328.262025,0.000000,0.000000,0.348117
1,2,1,4.058211,3.468867,0.000000,0.872053,0.558672,1.975301,100283.809689,0.000000,2.038735,247.500000,-76.181453,61.589330,0.000000,0.000000,0.333288
1,2,2,3.969229,3.602030,0.000000,0.865102,0.681149,1.962109,100302.710692,0.000000,2.073417,247.500000,-67.554931,62.301927,0.000000,0.000000,0.338692
1,2,3,3.436386,3.583842,0.000000,0.879517,0.566914,2.300900,100298.894565,0.000000,2.342703,247.500000,-55.988640,78.922892,0.000000,0.000000,0.315045
1,2,4,3.426522,3.505474,0.000000,0.911177,0.688275,2.254030,100364.714999,0.000000,2.345843,247.500000,-43.798990,89.189330,0.000000,0.000000,0.283215
1,2,5,3.326093,3.349979,0.000000,0.920991,1.012061,1.888912,100393.851191,0.000000,2.132426,247.500000,-31.558678,97.339294,0.000000,0.000000,0.271667
1,2,6,3.524294,3.407419,0.000000,0.943574,0.748981,1.947821,100425.740808,0.000000,2.086175,247.500000,-19.524726,104.879449,0.000000,0.000000,0.252507
1,2,7,3.469973,3.290762,0.000000,0.992772,0.801978,1.632090,100502.718639,0.000000,1.814759,247.500000,-7.908101,112.583612,0.000000,0.000000,0.202370
1,2,8,3.713234,3.246469,0.071448,0.988986,0.789162,1.444709,100585.195276,0.001224,1.636736,247.500000,3.042830,121.017241,0.000000,0.071448,0.210366
1,2,9,5.329018,3.401467,0.491273,0.994451,-0.116452,1.657077,100579.247746,0.000000,1.657077,270.000000,12.988881,130.703835,0.660217,0.342881,0.233145
1,2,10,7.568779,3.346169,0.922535,1.008489,-0.349013,2.339142,100572.264908,0.000000,2.339142,270.000000,21.452934,142.137630,0.870813,0.604047,0.259079
1,2,11,8.510521,3.537548,1.150578,1.060892,-0.954504,2.969015,100602.120917,0.000000,3.108285,292.500000,27.802720,155.628882,0.833414,0.761850,0.223771
1,2,12,9.013409,3.499311,1.349934,1.062262,-1.103896,3.177037,100565.701548,0.000309,3.357642,292.500000,31.337536,170.960418,0.818130,0.924442,0.231601
1,2,13,9.016164,3.453301,1.377364,1.037476,-1.623390,2.605244,100438.947823,0.003673,3.028176,292.500000,31.544078,187.115621,0.877579,0.918255,0.256438
1,2,14,8.392143,3.792792,0.927937,1.135922,-2.242559,1.709276,100519.502568,0.020844,2.794369,315.000000,28.388988,202.615236,0.256073,0.806186,0.146583
1,2,15,7.623499,3.707801,0.655409,1.155798,-2.197629,1.538690,100612.658986,0.081682,2.641977,315.000000,22.340824,216.353537,0.041212,0.639743,0.112760
1,2,16,6.912306,3.678256,0.459611,1.063767,-2.005574,1.194246,100635.066961,0.001346,2.309927,337.500000,14.094443,228.024580,0.302993,0.385826,0.191986
1,2,17,5.993025,3.734796,0.099340,1.006493,-1.520141,0.630151,100688.709695,0.000000,1.645575,337.500000,4.297990,237.896236,0.028689,0.097190,0.232854
1,2,18,5.319464,3.784258,0.000000,0.994468,-1.163548,0.273305,100801.214763,0.000000,1.179568,337.500000,-6.552529,246.452794,0.000000,0.000000,0.232959
1,2,19,4.720507,3.760304,0.000000,0.993223,-1.249865,-0.104831,100741.259112,0.000000,1.249865,0.000000,-18.103674,254.216331,0.000000,0.000000,0.223678
1,2,20,4.431713,3.758368,0.000000,1.016359,-0.962721,-0.303004,100785.020403,0.000000,1.005393,22.500000,-30.098852,261.742065,0.000000,0.000000,0.195491
1,2,21,4.157979,3.746564,0.000000,1.047137,-0.949018,-0.523933,100874.627449,0.000000,1.077279,22.500000,-42.325879,269.762329,0.000000,0.000000,0.159940
1,2,22,3.595090,3.715768,0.000000,1.027680,-0.422411,-0.649906,100806.249094,0.000000,0.762084,67.500000,-54.540704,279.640685,0.000000,0.000000,0.169627
1,2,23,3.163527,3.676283,0.000000,0.986269,-0.537708,-0.850903,100824.158979,0.000000,0.991904,67.500000,-66.241577,295.054082,0.000000,0.000000,0.203586
1,3,0,2.624725,3.599770,0.000000,0.977108,-0.542237,-0.415850,100800.822370,0.000000,0.677470,45.000000,-75.368234,328.042880,0.000000,0.000000,0.203493
1,3,1,1.840527,3.580690,0.000000,0.952593,-0.000581,0.124793,100844.322607,0.000000,0.124793,270.000000,-76.138245,61.043459,0.000000,0.000000,0.214638
1,3,2,2.106090,3.464984,0.000000,0.938133,-1.063190,-0.649275,100759.768129,0.000000,1.230726,22.500000,-67.581706,61.932901,0.000000,0.000000,0.233613
1,3,3,1.469081,3.380666,0.000000,0.935605,-1.013636,-0.379693,100804.191933,0.000000,1.081779,22.500000,-56.036771,78.683549,0.000000,0.000000,0.225331
1,3,4,0.768623,3.351023,0.000000,0.884703,-0.686188,-0.445423,100732.127860,0.000000,0.804411,22.500000,-43.851929,89.007367,0.000000,0.000000,0.264434
1,3,5,0.250706,3.314845,0.000000,0.871737,-0.818575,-0.104677,100718.277027,0.000000,0.818575,0.000000,-31.609716,97.184662,0.000000,0.000000,0.268733
